#iteration|nodeId|similarity
before|15|9.0248825E-4
before|36|4.1876835E-4
before|52|3.042387E-4
before|177|2.1344729E-4
before|240|4.7871718E-4
before|322|0.0014122127
before|605|2.8906312E-5
before|824|2.4154586E-4
before|936|5.6788215E-4
before|26|8.9435535E-4
before|101|4.59499E-4
before|155|6.2235177E-4
before|272|4.467032E-4
before|325|2.9257147E-4
before|357|1.0139962E-4
before|601|7.355432E-5
before|28|1.7864114E-4
before|104|8.350931E-4
before|120|3.3408927E-4
before|131|0.0010488174
before|158|5.887021E-4
before|644|1.8393672E-4
before|801|9.544272E-5
before|183|6.516011E-4
before|412|4.2277036E-4
before|698|1.4371402E-4
before|1164|6.4813634E-5
before|1455|8.997292E-5
before|47|2.9343535E-4
before|57|2.8920884E-4
before|248|2.72149E-4
before|658|2.6476077E-5
before|1201|1.7272244E-4
before|48|7.180635E-4
before|144|9.567429E-4
before|330|9.726675E-4
before|475|7.0657337E-4
before|1001|1.20054334E-4
before|117|2.6847085E-4
before|186|2.562346E-4
before|280|4.619631E-4
before|290|3.260301E-4
before|551|2.9938537E-4
before|560|2.1176343E-4
before|816|3.0630283E-4
before|1883|3.1202744E-5
before|58|9.313359E-4
before|74|6.871744E-5
before|103|5.1915844E-4
before|169|1.0718359E-4
before|165|5.5104E-4
before|178|4.010112E-4
before|235|1.6540152E-4
before|307|4.86082E-5
before|288|5.4037484E-4
before|571|1.7276657E-4
before|933|3.4782224E-4
before|1642|1.0008587E-4
before|67|6.3191704E-4
before|87|0.0011103443
before|92|1.5554247E-4
before|176|1.3624973E-4
before|257|2.4320623E-4
before|549|1.4655058E-4
before|514|4.0860317E-4
before|622|5.629197E-5
before|665|1.0625677E-4
before|849|7.355432E-5
before|60|8.230645E-4
before|115|5.1653787E-4
before|164|4.9589935E-4
before|206|4.496211E-4
before|459|1.13008755E-4
before|1498|5.241322E-5
before|210|7.837136E-5
before|225|1.4101062E-4
before|291|2.58225E-4
before|371|4.473918E-4
before|927|4.33759E-4
before|76|2.9885312E-4
before|1058|5.409812E-5
before|109|2.2921553E-4
before|191|3.9211285E-4
